AOR,Index,Class
3564032,None,None
3570688,None,None
3634176,3,None
3635200,1,None
3635200,2,None
3635200,3,None
3874304,None,None
4025088,None,None
4029952,None,None
4030208,None,None
4121344,None,None
4502528,None,None
4502784,None,None
4503040,None,None
4503296,None,None
4503552,None,None
4503808,None,None
4504064,None,None
4504320,None,None
4849664,None,None
4869376,None,None
4872192,None,None
4890368,None,None
4988160,None,None
4989184,None,None
5065728,None,None
5196032,None,None
5199104,None,None
5200640,None,None
5209344,None,None
5210880,None,None
5215488,None,None
5217024,None,None
5223936,None,None
5225472,None,None
5236992,None,None
5249280,None,None
5252864,None,None
5402112,None,None
5441024,None,None
5643776,None,None
5644032,1,None
5644032,2,None
5644288,None,None
5644544,None,None
5644800,1,None
5644800,2,None
5645056,None,None
6012160,None,None
6079232,None,None
6079488,None,None
6079744,None,None
6080000,None,None
6080256,None,None
6080768,None,None
6081280,None,None
6084096,None,None
6084352,None,None
6084608,None,None
6084864,None,None
6085376,None,None
6085632,None,None
9269760,None,None
9270272,None,None
9407488,None,None
9529088,None,None
9545472,None,None
9547008,None,None
9835008,1,None
9835008,2,None
9835264,None,None
10205952,None,None
10273536,None,None
10273792,None,None
10274048,None,None
10274304,None,None
10274816,None,None
10275328,None,None
10275584,None,None
10275840,None,None
10311424,None,None
10321152,None,None
10372608,None,None
10421248,1,None
10421248,2,None
10421248,3,None
10421248,4,None
10421248,5,None
10421504,3,None
10421504,4,None
10421504,5,None
10421504,6,None
10421504,7,None
10421504,8,None
10421504,9,None
10421504,10,None
10421504,11,None
10421504,12,None
10421504,13,None
10421504,14,None
10421760,1,None
10421760,2,None
10421760,3,None
10421760,4,None
10421760,5,None
10421760,6,None
10421760,7,None
10421760,8,None
10421760,9,None
10422016,1,None
10422016,2,None
10422016,3,None
10422016,4,None
10422016,5,None
10422016,6,None
10422272,1,None
10422272,2,None
10422272,3,None
10422272,4,None
10422528,1,None
10422528,2,None
10422528,3,None
10422528,4,None
10422784,1,None
10423040,1,None
10423040,2,None
10423296,None,None
10423808,None,None
10424576,None,None
10432768,None,None
10495488,None,None
10498560,None,None
10499584,None,None
10500608,None,None
10501120,None,None
10523392,None,None
10653184,None,None
10688000,None,None
10704640,2,None
10704640,4,None
10704640,5,None
10704640,6,None
10749952,None,None
10750208,None,None
10750464,None,None
10835712,None,None
10838784,None,None
10839040,None,None
10840320,None,None
10890496,None,None
11005696,None,None
11197440,None,None
11197952,None,None
11277568,None,None
11277824,None,None
11278080,None,None
11278336,None,None
11278592,None,None
11278848,None,None
11279104,None,None
11279360,None,None
11279616,None,None
11279872,None,None
11280128,None,None
11280384,None,None
11283968,None,None
11284480,None,None
11284736,None,None
11285248,None,None
11288064,None,None
11288320,None,None
11312640,None,None
11313408,None,None
11314944,None,None
11315456,None,None
11315712,None,None
11315968,None,None
11316224,None,None
11317760,None,None
11318528,None,None
11318784,None,None
11319552,None,None
11320320,None,None
11322368,None,None
11323392,None,None
11324416,None,None
11325184,None,None
11325696,None,None
11326720,None,None
11327232,None,None
11328256,None,None
11328512,None,None
11328768,None,None
11330560,None,None
11331840,None,None
11334400,None,None
11335168,None,None
11337216,None,None
11558656,None,None
11558912,None,None
11559169,None,None
11559424,None,None
11570688,None,None
12002816,None,None
12004352,None,None
12009984,None,None
12091648,2,None
12092928,2,None
12097536,1,None
12097536,5,None
12097792,2,None
12100352,2,None
12130560,None,None
12246528,None,None
12411136,None,None
12412416,None,None
12534528,None,None
12534784,None,None
12535808,None,None
12700160,None,None
12703488,None,None
13360384,None,None
13360640,None,None
13467648,None,None
13468160,None,None
13622528,None,None
13623040,None,None
13807616,None,None
14028544,None,None
