AOR,Index,Class
11278592,None,Other
24319232,None,C-Rich Evolved
22424576,None,YSO-2
25997056,None,PN
11325184,None,PN
26927360,None,Other
18922752,None,O-Rich Evolved
16943616,5,YSO
22718464,12,O-Rich Evolved
14210560,None,Star
10968064,None,YSO-2
8767232,None,Galaxy
23971584,4,Other
10277120,None,Noise
7557888,None,Other
9074688,None,Galaxy
25312512,None,YSO-1
26123776,None,O-Rich Evolved
26644480,None,O-Rich Evolved
11282944,None,C-Rich Evolved
10421504,9,O-Rich Evolved
11283712,None,Other
16207872,10,Noise
22883072,None,O-Rich Evolved
22442496,None,PN
4411136,None,Other
25828352,None,PN
18927872,None,Other
22800128,None,Other
9070336,None,Galaxy
22423808,None,PN
10746624,7,C-Rich Evolved
23969792,7,Other
5640960,None,Other
14252800,None,Star
6079232,None,O-Rich Evolved
25315584,None,YSO-1
22885120,None,Other
16020224,None,Star
24319488,None,YSO-2
10422528,1,O-Rich Evolved
14899200,None,YSO-1
12097536,5,Other
27534080,None,YSO
14236160,None,Other
9269504,None,Other
25313280,None,YSO
11280128,None,C-Rich Evolved
20588544,2,Other
23974656,1,YSO
