AOR,Index,Class
4946944,None,C-PN
4947712,None,C-PAGB
4947968,None,C-PN
4948224,None,O-PN
4948736,None,O-PN
4950784,None,C-PAGB
4951040,None,O-PN
4951296,None,C-PN
4952320,None,C-PN
4952576,None,O-PN
5030144,None,LBV
5056256,None,RSG
5056512,None,RSG
6014208,None,O-AGB
6014464,None,STAR
6014720,None,O-AGB
6014976,None,O-AGB
6015232,None,O-AGB
6015488,None,RSG
6015744,None,RSG
6016000,None,STAR
6016256,None,O-AGB
6016512,None,O-AGB
6016768,None,C-AGB
6020096,None,O-AGB
6020864,None,O-AGB
6021120,None,O-AGB
6021376,None,O-AGB
6021632,None,C-AGB
6022144,None,O-AGB
6022400,None,RSG
6023425,None,C-AGB
6023680,None,C-AGB
6024192,None,O-AGB
6024448,None,C-AGB
6024704,None,C-AGB
6076416,None,RSG
6076672,None,RSG
6076928,None,RSG
6077184,None,O-AGB
6077440,None,O-AGB
6077696,None,RSG
6077952,None,RSG
6078208,None,C-AGB
7459328,None,OTHER: B[e] star
7629312,None,STAR
7870464,None,LBV
7870720,None,WR
9069312,None,C-AGB
9107712,None,LBV
9107968,None,WR
9108480,None,WR
9108736,None,LBV
9531392,None,WR
9532416,None,LBV
9760512,None,WR
9857536,None,LBV
10065920,None,LBV
10958080,None,C-AGB
10958336,None,RSG
10958592,None,HII
10958848,None,RSG
10959104,None,RSG
10959360,None,RSG
10959616,None,OTHER: B[e] star
10959872,None,RSG
10960384,None,C-AGB
10960896,None,RSG
10961152,None,C-AGB
10961408,None,C-AGB
10961664,None,C-AGB
10961920,None,C-AGB
10962176,None,HII
10962432,None,HII
10962688,None,RSG
10962944,None,O-AGB
10963200,None,RSG
10963456,None,C-AGB
10963712,None,HII
10963968,None,RSG
10964224,None,RSG
10964480,None,RSG
10964992,None,O-AGB
10965248,None,RSG
10965504,None,RSG
10965760,None,RSG
10966016,None,RSG
10966528,None,HII
10966784,None,O-AGB
10967040,None,HII
10967296,None,C-AGB
10967552,None,RSG
10967808,None,RSG
10968320,None,OTHER: B[e] star
10969600,None,RSG
10969856,None,HII
10970112,None,RSG
10970368,None,RSG
10970624,None,C-AGB
10970880,None,RSG
10971136,None,C-AGB
10971392,None,C-AGB
10972160,None,C-AGB
10972416,None,O-AGB
10972672,None,C-AGB
10972928,None,C-AGB
10973952,None,RSG
10974208,None,C-AGB
11182080,None,STAR
11182848,None,STAR
11183616,None,STAR
11219200,None,O-AGB
11219456,None,O-AGB
11219712,None,O-AGB
11219968,None,O-AGB
11220224,None,O-AGB
11220480,None,O-AGB
11239680,7,C-PAGB
11812096,None,LBV
11812864,None,LBV
12003328,None,LBV
12004096,None,LBV
12129792,None,LBV
12130304,None,LBV
12633856,None,C-PN
12813056,None,C-AGB
12929024,None,C-AGB
12929280,None,C-AGB
12929536,None,C-AGB
12929792,None,C-AGB
12930048,None,O-AGB
12930304,None,C-AGB
12930560,None,C-AGB
12930816,None,C-AGB
12931328,None,YSO-1
12931840,None,C-AGB
12932352,None,C-AGB
12932864,None,C-AGB
12933376,None,C-AGB
12933888,None,C-AGB
12934400,None,C-AGB
12935168,None,C-AGB
12935424,None,C-AGB
12935936,None,C-AGB
12936448,None,C-AGB
12936704,None,C-AGB
12936960,None,C-AGB
12938240,None,C-AGB
12938496,None,C-AGB
12938752,None,C-AGB
13050368,None,LBV
13351168,None,STAR
13359872,None,LBV
14700032,None,O-PN
14700288,None,O-PN
14700544,None,O-PN
14700800,None,O-PN
14701056,None,O-PN
14701312,None,O-PN
14701568,None,C-PAGB
14701824,None,O-PN
14702336,None,O-PN
14703616,None,O-PN
14703872,None,C-PN
14704128,None,O-PN
14704640,None,O-PN
14705152,None,O-PN
14705408,None,O-PN
14705920,None,O-PN
15902208,None,C-PN
15902464,None,C-PAGB
17329920,None,YSO-1
17741312,None,RCrB
18144512,None,RCrB
19005440,None,C-AGB
19005696,None,C-AGB
19005952,None,C-AGB
19006464,None,C-AGB
19006720,None,C-PAGB
19007232,None,C-AGB
19007488,None,C-AGB
19007744,None,HII
19008000,None,C-AGB
19008256,None,C-PAGB
19008512,None,C-AGB
19009024,None,C-AGB
19009280,None,C-AGB
19010048,None,C-AGB
19010304,None,C-AGB
19010560,None,C-AGB
19010816,None,O-PAGB
19011840,None,C-PAGB
19012096,None,YSO-4
19012352,None,C-AGB
19012608,None,C-AGB
19012864,None,C-AGB
19149312,None,OTHER: B[e] star
19150336,None,HII
19150592,None,HII
19151104,None,O-AGB
19151616,None,OTHER: B[e] star
22399232,None,O-AGB
22399488,None,GAL
22399744,None,C-AGB
22400256,None,RSG
22400512,None,C-AGB
22400768,None,O-AGB
22401024,None,C-AGB
22401280,None,YSO-2
22401792,None,C-AGB
22402048,None,O-AGB
22402304,None,C-AGB
22402560,None,RSG
22403072,None,STAR
22403328,None,YSO-3
22404096,None,O-AGB
22404864,None,C-AGB
22405632,None,YSO-4
22405888,None,RCrB
22406144,None,RSG
22406400,None,O-PAGB
22406656,None,O-PAGB
22406912,None,C-AGB
22407168,None,C-AGB
22407424,None,STAR
22407680,None,C-AGB
22407936,None,RSG
22408192,None,C-AGB
22408448,None,RSG
22408704,None,O-AGB
22408960,None,UNK
22409216,None,GAL
22409472,None,C-AGB
22409728,None,YSO-4
22409984,None,C-AGB
22410240,None,C-AGB
22410496,None,C-AGB
22410752,None,C-AGB
22411008,None,C-AGB
22411264,None,BSG
22411520,None,C-AGB
22411776,None,C-AGB
22412032,None,O-AGB
22412288,None,C-AGB
22412544,None,O-PAGB
22412800,None,C-AGB
22413056,None,O-AGB
22413312,None,O-AGB
22414080,None,C-AGB
22414336,None,O-AGB
22414592,None,YSO-4
22414848,None,O-AGB
22415104,None,C-AGB
22415360,None,C-AGB
22415616,None,O-AGB
22416128,None,O-AGB
22416384,None,BSG
22416640,None,HII
22416896,None,O-AGB
22417152,None,O-PAGB
22417408,None,O-PAGB
22417664,None,STAR
22417920,None,O-AGB
22418176,None,GAL
22418688,None,O-AGB
22418944,None,C-AGB
22419200,None,STAR
22419456,None,O-AGB
22419712,None,C-AGB
22419968,None,C-AGB
22420224,None,C-AGB
22420480,None,STAR
22420736,None,O-AGB
22420992,None,YSO-4
22421248,None,O-AGB
22421504,None,C-PN
22421760,None,O-AGB
22422016,None,RCrB
22422528,None,O-AGB
22422784,None,YSO-3
22423040,None,C-AGB
22423552,None,O-AGB
22424320,None,YSO-1
22424832,None,C-AGB
22425088,None,HII
22425344,None,C-AGB
22425600,None,YSO-4
22426112,None,O-AGB
22426624,None,O-PAGB
22426880,None,YSO-3
22427136,None,O-PAGB
22427392,None,RSG
22427648,None,RSG
22427904,None,O-PAGB
22428416,None,C-AGB
22428672,None,RSG
22428928,None,RSG
22429184,None,O-AGB
22429440,None,C-AGB
22429696,None,C-AGB
22429952,None,RSG
22430208,None,RSG
22430464,None,RSG
22430720,None,O-AGB
22430976,None,O-PAGB
22431232,None,C-AGB
22431488,None,STAR
22431744,None,RSG
22432000,None,RSG
22432256,None,C-AGB
22432768,None,GAL
22433024,None,C-AGB
22433280,None,C-AGB
22433536,None,O-AGB
22433792,None,O-AGB
22434048,None,C-PN
22434304,None,C-AGB
22434560,None,UNK
22434816,None,RSG
22435072,None,O-AGB
22435328,None,YSO-4
22435584,None,GAL
22436096,None,O-AGB
22436352,None,O-PN
22436608,None,GAL
22437120,None,UNK
22437376,None,C-AGB
22437632,None,O-PAGB
22437888,None,YSO-3
22438144,None,O-AGB
22438912,None,O-PAGB
22439424,None,O-PAGB
22439680,None,YSO-4
22439936,None,YSO-3
22440192,None,O-AGB
22440448,None,O-AGB
22440704,None,C-AGB
22440960,None,RSG
22441472,None,RSG
22441728,None,RSG
22441984,None,RSG
22442240,None,O-AGB
22443008,None,C-PN
22443264,None,O-AGB
22443520,None,O-PAGB
22443776,None,O-AGB
22444032,None,C-AGB
22444288,None,O-AGB
22444544,None,C-AGB
22444800,None,O-AGB
22445056,None,YSO-1
22445312,None,GAL
22445824,None,UNK
22446080,None,O-PN
22446336,None,YSO-4
22446592,None,STAR
22446848,None,C-AGB
22447104,None,C-AGB
22447360,None,C-AGB
22447616,None,GAL
22447872,None,C-AGB
22448128,None,STAR
22448384,None,O-AGB
23106048,None,HII
24314112,None,C-AGB
24314368,None,O-PAGB
24314624,None,C-PAGB
24314880,None,C-AGB
24315136,None,YSO-1
24315392,None,YSO-1
24315648,None,C-PAGB
24315904,None,YSO-4
24316416,None,YSO-1
24316672,None,YSO-1
24316928,None,C-PAGB
24317184,None,C-PAGB
24317440,None,YSO-3
24317696,None,YSO-2
24317952,None,YSO-1
24318208,None,YSO-4
24318720,None,O-AGB
24318976,None,YSO-4
24319744,None,YSO-1
24324352,None,STAR
24324608,None,STAR
24324864,None,STAR
24325120,None,STAR
24325376,None,STAR
24326144,None,STAR
25035520,None,STAR
25035776,None,O-AGB
25036032,None,STAR
25036288,None,STAR
25036544,None,STAR
25036800,None,STAR
25037056,None,STAR
25687552,None,RSG
25688576,None,RSG
25688832,None,RSG
25689088,None,RSG
25689344,None,RSG
25990656,None,C-AGB
25990912,None,RCrB
25991168,None,C-AGB
25991424,None,C-AGB
25991680,None,C-AGB
25991936,None,O-PAGB
25992192,None,C-AGB
25992448,None,C-PAGB
25992704,None,C-PAGB
25992960,None,C-PAGB
25993984,None,C-PN
25995520,None,O-PN
25996032,None,C-PAGB
25996288,None,YSO-4
25996800,None,YSO-1
27037952,None,O-PAGB
27038208,None,O-PAGB
27038464,None,O-PAGB
27084032,None,C-PAGB
27084288,None,O-AGB
27575552,None,RSG
27576064,None,WR
27576320,None,WR
27576576,None,WR
27576832,None,WR
27985408,None,O-AGB
33283584,None,O-AGB
33287680,None,O-AGB
33289472,None,O-PAGB
33291520,None,O-AGB
33291776,None,O-PAGB
33292288,None,O-PAGB
33293568,None,O-AGB
